instance,---,--L,-P-,H--,-PL,H-L,HP-,HPL
voronoi_large_lg_4,11441.6,7121.8,7911.7,1317.8,4926.3,779.5,1498.0,409.7
voronoi_large_lg_5,11587.8,4918.1,9106.9,1532.4,3999.4,1174.7,1011.0,854.8
voronoi_large_lg_6,11769.2,6997.8,10926.2,1591.7,5071.2,924.2,800.1,547.7
voronoi_large_lg_7,12068.5,8251.5,8879.4,699.3,5533.8,513.9,492.0,206.8
voronoi_large_lg_8,12302.0,5163.0,10013.3,170.2,2889.5,163.4,151.1,146.1
voronoi_large_lg_9,12468.2,6918.2,14172.7,273.0,6403.2,692.5,462.1,707.2
voronoi_large_lg_10,14101.3,8091.9,13650.4,1747.1,8740.0,745.8,863.2,689.2
voronoi_large_lg_11,14979.2,9800.5,12389.4,244.4,8600.5,701.2,708.7,377.6
voronoi_large_lg_12,15056.9,9966.8,12787.7,1254.6,7231.3,471.4,718.8,348.1
voronoi_large_lg_13,18032.5,4899.7,18775.8,872.4,6860.6,330.1,279.3,312.9
voronoi_large_lg_14,20535.5,10756.7,21717.1,2452.9,11519.3,1959.8,2863.5,886.8
voronoi_large_lg_15,26939.1,16855.9,25121.2,2598.0,17065.7,1566.3,2096.8,1439.2
voronoi_large_lg_16,33105.8,23534.3,27472.7,1858.0,18805.7,1370.6,1061.5,1185.0
voronoi_large_lg_17,67265.5,30477.5,67399.4,2589.9,26035.0,2095.7,2083.3,1501.5
